Fylkesnr. 2019,Fylkesnavn 2019,Kommunenr. 2019,Kommunenavn 2019
1,ØSTFOLD,101,HALDEN
1,ØSTFOLD,104,MOSS
1,ØSTFOLD,105,SARPSBORG
1,ØSTFOLD,106,FREDRIKSTAD
1,ØSTFOLD,111,HVALER
1,ØSTFOLD,118,AREMARK
1,ØSTFOLD,119,MARKER
1,ØSTFOLD,121,RØMSKOG
1,ØSTFOLD,122,TRØGSTAD
1,ØSTFOLD,123,SPYDEBERG
1,ØSTFOLD,124,ASKIM
1,ØSTFOLD,125,EIDSBERG
1,ØSTFOLD,127,SKIPTVET
1,ØSTFOLD,128,RAKKESTAD
1,ØSTFOLD,135,RÅDE
1,ØSTFOLD,136,RYGGE
1,ØSTFOLD,137,VÅLER (ØSTF.)
1,ØSTFOLD,138,HOBØL
2,AKERSHUS,211,VESTBY
2,AKERSHUS,213,SKI
2,AKERSHUS,214,ÅS
2,AKERSHUS,215,FROGN
2,AKERSHUS,216,NESODDEN
2,AKERSHUS,217,OPPEGÅRD
2,AKERSHUS,219,BÆRUM
2,AKERSHUS,220,ASKER
2,AKERSHUS,221,AURSKOG-HØLAND
2,AKERSHUS,226,SØRUM
2,AKERSHUS,227,FET
2,AKERSHUS,228,RÆLINGEN
2,AKERSHUS,229,ENEBAKK
2,AKERSHUS,230,LØRENSKOG
2,AKERSHUS,231,SKEDSMO
2,AKERSHUS,233,NITTEDAL
2,AKERSHUS,234,GJERDRUM
2,AKERSHUS,235,ULLENSAKER
2,AKERSHUS,236,NES (AKERSHUS)
2,AKERSHUS,237,EIDSVOLL
2,AKERSHUS,238,NANNESTAD
2,AKERSHUS,239,HURDAL
3,OSLO,301,OSLO
4,HEDMARK,402,KONGSVINGER
4,HEDMARK,403,HAMAR
4,HEDMARK,412,RINGSAKER
4,HEDMARK,415,LØTEN
4,HEDMARK,417,STANGE
4,HEDMARK,418,NORD-ODAL
4,HEDMARK,419,SØR-ODAL
4,HEDMARK,420,EIDSKOG
4,HEDMARK,423,GRUE
4,HEDMARK,425,ÅSNES
4,HEDMARK,426,VÅLER (HEDM.)
4,HEDMARK,427,ELVERUM
4,HEDMARK,428,TRYSIL
4,HEDMARK,429,ÅMOT
4,HEDMARK,430,STOR-ELVDAL
4,HEDMARK,432,RENDALEN
4,HEDMARK,434,ENGERDAL
4,HEDMARK,436,TOLGA
4,HEDMARK,437,TYNSET
4,HEDMARK,438,ALVDAL
4,HEDMARK,439,FOLLDAL
4,HEDMARK,441,OS (HEDM.)
5,OPPLAND,501,LILLEHAMMER
5,OPPLAND,502,GJØVIK
5,OPPLAND,511,DOVRE
5,OPPLAND,512,LESJA
5,OPPLAND,513,SKJÅK
5,OPPLAND,514,LOM
5,OPPLAND,515,VÅGÅ
5,OPPLAND,516,NORD-FRON
5,OPPLAND,517,SEL
5,OPPLAND,519,SØR-FRON
5,OPPLAND,520,RINGEBU
5,OPPLAND,521,ØYER
5,OPPLAND,522,GAUSDAL
5,OPPLAND,528,ØSTRE TOTEN
5,OPPLAND,529,VESTRE TOTEN
5,OPPLAND,532,JEVNAKER
5,OPPLAND,533,LUNNER
5,OPPLAND,534,GRAN
5,OPPLAND,536,SØNDRE LAND
5,OPPLAND,538,NORDRE LAND
5,OPPLAND,540,SØR-AURDAL
5,OPPLAND,541,ETNEDAL
5,OPPLAND,542,NORD-AURDAL
5,OPPLAND,543,VESTRE SLIDRE
5,OPPLAND,544,ØYSTRE SLIDRE
5,OPPLAND,545,VANG
6,BUSKERUD,602,DRAMMEN
6,BUSKERUD,604,KONGSBERG
6,BUSKERUD,605,RINGERIKE
6,BUSKERUD,612,HOLE
6,BUSKERUD,615,FLÅ
6,BUSKERUD,616,NES (BUSK.)
6,BUSKERUD,617,GOL
6,BUSKERUD,618,HEMSEDAL
6,BUSKERUD,619,ÅL
6,BUSKERUD,620,HOL
6,BUSKERUD,621,SIGDAL
6,BUSKERUD,622,KRØDSHERAD
6,BUSKERUD,623,MODUM
6,BUSKERUD,624,ØVRE EIKER
6,BUSKERUD,625,NEDRE EIKER
6,BUSKERUD,626,LIER
6,BUSKERUD,627,RØYKEN
6,BUSKERUD,628,HURUM
6,BUSKERUD,631,FLESBERG
6,BUSKERUD,632,ROLLAG
6,BUSKERUD,633,NORE OG UVDAL
7,VESTFOLD,701,HORTEN
7,VESTFOLD,704,TØNSBERG
7,VESTFOLD,710,SANDEFJORD
7,VESTFOLD,711,SVELVIK
7,VESTFOLD,712,LARVIK
7,VESTFOLD,713,SANDE (VESTF.)
7,VESTFOLD,715,HOLMESTRAND
7,VESTFOLD,716,RE
7,VESTFOLD,729,FÆRDER
8,TELEMARK,805,PORSGRUNN
8,TELEMARK,806,SKIEN
8,TELEMARK,807,NOTODDEN
8,TELEMARK,811,SILJAN
8,TELEMARK,814,BAMBLE
8,TELEMARK,815,KRAGERØ
8,TELEMARK,817,DRANGEDAL
8,TELEMARK,819,NOME
8,TELEMARK,821,BØ (TELEM.)
8,TELEMARK,822,SAUHERAD
8,TELEMARK,826,TINN
8,TELEMARK,827,HJARTDAL
8,TELEMARK,828,SELJORD
8,TELEMARK,829,KVITESEID
8,TELEMARK,830,NISSEDAL
8,TELEMARK,831,FYRESDAL
8,TELEMARK,833,TOKKE
8,TELEMARK,834,VINJE
9,AUST-AGDER,901,RISØR
9,AUST-AGDER,904,GRIMSTAD
9,AUST-AGDER,906,ARENDAL
9,AUST-AGDER,911,GJERSTAD
9,AUST-AGDER,912,VEGÅRSHEI
9,AUST-AGDER,914,TVEDESTRAND
9,AUST-AGDER,919,FROLAND
9,AUST-AGDER,926,LILLESAND
9,AUST-AGDER,928,BIRKENES
9,AUST-AGDER,929,ÅMLI
9,AUST-AGDER,935,IVELAND
9,AUST-AGDER,937,EVJE OG HORNNES
9,AUST-AGDER,938,BYGLAND
9,AUST-AGDER,940,VALLE
9,AUST-AGDER,941,BYKLE
10,VEST-AGDER,1001,KRISTIANSAND
10,VEST-AGDER,1002,MANDAL
10,VEST-AGDER,1003,FARSUND
10,VEST-AGDER,1004,FLEKKEFJORD
10,VEST-AGDER,1014,VENNESLA
10,VEST-AGDER,1017,SONGDALEN
10,VEST-AGDER,1018,SØGNE
10,VEST-AGDER,1021,MARNARDAL
10,VEST-AGDER,1026,ÅSERAL
10,VEST-AGDER,1027,AUDNEDAL
10,VEST-AGDER,1029,LINDESNES
10,VEST-AGDER,1032,LYNGDAL
10,VEST-AGDER,1034,HÆGEBOSTAD
10,VEST-AGDER,1037,KVINESDAL
10,VEST-AGDER,1046,SIRDAL
11,ROGALAND,1101,EIGERSUND
11,ROGALAND,1102,SANDNES
11,ROGALAND,1103,STAVANGER
11,ROGALAND,1106,HAUGESUND
11,ROGALAND,1111,SOKNDAL
11,ROGALAND,1112,LUND
11,ROGALAND,1114,BJERKREIM
11,ROGALAND,1119,HÅ
11,ROGALAND,1120,KLEPP
11,ROGALAND,1121,TIME
11,ROGALAND,1122,GJESDAL
11,ROGALAND,1124,SOLA
11,ROGALAND,1127,RANDABERG
11,ROGALAND,1129,FORSAND
11,ROGALAND,1130,STRAND
11,ROGALAND,1133,HJELMELAND
11,ROGALAND,1134,SULDAL
11,ROGALAND,1135,SAUDA
11,ROGALAND,1141,FINNØY
11,ROGALAND,1142,RENNESØY
11,ROGALAND,1144,KVITSØY
11,ROGALAND,1145,BOKN
11,ROGALAND,1146,TYSVÆR
11,ROGALAND,1149,KARMØY
11,ROGALAND,1151,UTSIRA
11,ROGALAND,1160,VINDAFJORD
12,HORDALAND,1201,BERGEN
12,HORDALAND,1211,ETNE
12,HORDALAND,1216,SVEIO
12,HORDALAND,1219,BØMLO
12,HORDALAND,1221,STORD
12,HORDALAND,1222,FITJAR
12,HORDALAND,1223,TYSNES
12,HORDALAND,1224,KVINNHERAD
12,HORDALAND,1227,JONDAL
12,HORDALAND,1228,ODDA
12,HORDALAND,1231,ULLENSVANG
12,HORDALAND,1232,EIDFJORD
12,HORDALAND,1233,ULVIK
12,HORDALAND,1234,GRANVIN
12,HORDALAND,1235,VOSS
12,HORDALAND,1238,KVAM
12,HORDALAND,1241,FUSA
12,HORDALAND,1242,SAMNANGER
12,HORDALAND,1243,OS (HORDALAND)
12,HORDALAND,1244,AUSTEVOLL
12,HORDALAND,1245,SUND
12,HORDALAND,1246,FJELL
12,HORDALAND,1247,ASKØY
12,HORDALAND,1251,VAKSDAL
12,HORDALAND,1252,MODALEN
12,HORDALAND,1253,OSTERØY
12,HORDALAND,1256,MELAND
12,HORDALAND,1259,ØYGARDEN
12,HORDALAND,1260,RADØY
12,HORDALAND,1263,LINDÅS
12,HORDALAND,1264,AUSTRHEIM
12,HORDALAND,1265,FEDJE
12,HORDALAND,1266,MASFJORDEN
14,SOGN OG FJORDANE,1401,FLORA
14,SOGN OG FJORDANE,1411,GULEN
14,SOGN OG FJORDANE,1412,SOLUND
14,SOGN OG FJORDANE,1413,HYLLESTAD
14,SOGN OG FJORDANE,1416,HØYANGER
14,SOGN OG FJORDANE,1417,VIK
14,SOGN OG FJORDANE,1418,BALESTRAND
14,SOGN OG FJORDANE,1419,LEIKANGER
14,SOGN OG FJORDANE,1420,SOGNDAL
14,SOGN OG FJORDANE,1421,AURLAND
14,SOGN OG FJORDANE,1422,LÆRDAL
14,SOGN OG FJORDANE,1424,ÅRDAL
14,SOGN OG FJORDANE,1426,LUSTER
14,SOGN OG FJORDANE,1428,ASKVOLL
14,SOGN OG FJORDANE,1429,FJALER
14,SOGN OG FJORDANE,1430,GAULAR
14,SOGN OG FJORDANE,1431,JØLSTER
14,SOGN OG FJORDANE,1432,FØRDE
14,SOGN OG FJORDANE,1433,NAUSTDAL
14,SOGN OG FJORDANE,1438,BREMANGER
14,SOGN OG FJORDANE,1439,VÅGSØY
14,SOGN OG FJORDANE,1441,SELJE
14,SOGN OG FJORDANE,1443,EID
14,SOGN OG FJORDANE,1444,HORNINDAL
14,SOGN OG FJORDANE,1445,GLOPPEN
14,SOGN OG FJORDANE,1449,STRYN
15,MØRE OG ROMSDAL,1502,MOLDE
15,MØRE OG ROMSDAL,1504,ÅLESUND
15,MØRE OG ROMSDAL,1505,KRISTIANSUND
15,MØRE OG ROMSDAL,1511,VANYLVEN
15,MØRE OG ROMSDAL,1514,SANDE
15,MØRE OG ROMSDAL,1515,HERØY
15,MØRE OG ROMSDAL,1516,ULSTEIN
15,MØRE OG ROMSDAL,1517,HAREID
15,MØRE OG ROMSDAL,1519,VOLDA
15,MØRE OG ROMSDAL,1520,ØRSTA
15,MØRE OG ROMSDAL,1523,ØRSKOG
15,MØRE OG ROMSDAL,1524,NORDDAL
15,MØRE OG ROMSDAL,1525,STRANDA
15,MØRE OG ROMSDAL,1526,STORDAL
15,MØRE OG ROMSDAL,1528,SYKKYLVEN
15,MØRE OG ROMSDAL,1529,SKODJE
15,MØRE OG ROMSDAL,1531,SULA
15,MØRE OG ROMSDAL,1532,GISKE
15,MØRE OG ROMSDAL,1534,HARAM
15,MØRE OG ROMSDAL,1535,VESTNES
15,MØRE OG ROMSDAL,1539,RAUMA
15,MØRE OG ROMSDAL,1543,NESSET
15,MØRE OG ROMSDAL,1545,MIDSUND
15,MØRE OG ROMSDAL,1546,SANDØY
15,MØRE OG ROMSDAL,1547,AUKRA
15,MØRE OG ROMSDAL,1548,FRÆNA
15,MØRE OG ROMSDAL,1551,EIDE
15,MØRE OG ROMSDAL,1554,AVERØY
15,MØRE OG ROMSDAL,1557,GJEMNES
15,MØRE OG ROMSDAL,1560,TINGVOLL
15,MØRE OG ROMSDAL,1563,SUNNDAL
15,MØRE OG ROMSDAL,1566,SURNADAL
15,MØRE OG ROMSDAL,1571,HALSA
15,MØRE OG ROMSDAL,1573,SMØLA
15,MØRE OG ROMSDAL,1576,AURE
18,NORDLAND,1804,BODØ
18,NORDLAND,1805,NARVIK
18,NORDLAND,1811,BINDAL
18,NORDLAND,1812,SØMNA
18,NORDLAND,1813,BRØNNØY
18,NORDLAND,1815,VEGA
18,NORDLAND,1816,VEVELSTAD
18,NORDLAND,1818,HERØY
18,NORDLAND,1820,ALSTAHAUG
18,NORDLAND,1822,LEIRFJORD
18,NORDLAND,1824,VEFSN
18,NORDLAND,1825,GRANE
18,NORDLAND,1826,HATTFJELLDAL
18,NORDLAND,1827,DØNNA
18,NORDLAND,1828,NESNA
18,NORDLAND,1832,HEMNES
18,NORDLAND,1833,RANA
18,NORDLAND,1834,LURØY
18,NORDLAND,1835,TRÆNA
18,NORDLAND,1836,RØDØY
18,NORDLAND,1837,MELØY
18,NORDLAND,1838,GILDESKÅL
18,NORDLAND,1839,BEIARN
18,NORDLAND,1840,SALTDAL
18,NORDLAND,1841,FAUSKE
18,NORDLAND,1845,SØRFOLD
18,NORDLAND,1848,STEIGEN
18,NORDLAND,1849,HAMARØY
18,NORDLAND,1850,TYSFJORD (DELES)
18,NORDLAND,1850,TYSFJORD (DELES)
18,NORDLAND,1851,LØDINGEN
18,NORDLAND,1852,TJELDSUND
18,NORDLAND,1853,EVENES
18,NORDLAND,1854,BALLANGEN
18,NORDLAND,1856,RØST
18,NORDLAND,1857,VÆRØY
18,NORDLAND,1859,FLAKSTAD
18,NORDLAND,1860,VESTVÅGØY
18,NORDLAND,1865,VÅGAN
18,NORDLAND,1866,HADSEL
18,NORDLAND,1867,BØ
18,NORDLAND,1868,ØKSNES
18,NORDLAND,1870,SORTLAND
18,NORDLAND,1871,ANDØY
18,NORDLAND,1874,MOSKENES
19,TROMS,1902,TROMSØ
19,TROMS,1903,HARSTAD
19,TROMS,1911,KVÆFJORD
19,TROMS,1913,SKÅNLAND
19,TROMS,1917,IBESTAD
19,TROMS,1919,GRATANGEN
19,TROMS,1920,LAVANGEN
19,TROMS,1922,BARDU
19,TROMS,1923,SALANGEN
19,TROMS,1924,MÅLSELV
19,TROMS,1925,SØRREISA
19,TROMS,1926,DYRØY
19,TROMS,1927,TRANØY
19,TROMS,1928,TORSKEN
19,TROMS,1929,BERG
19,TROMS,1931,LENVIK
19,TROMS,1933,BALSFJORD
19,TROMS,1936,KARLSØY
19,TROMS,1938,LYNGEN
19,TROMS,1939,STORFJORD
19,TROMS,1940,KÅFJORD
19,TROMS,1941,SKJERVØY
19,TROMS,1942,NORDREISA
19,TROMS,1943,KVÆNANGEN
20,FINNMARK,2002,VARDØ
20,FINNMARK,2003,VADSØ
20,FINNMARK,2004,HAMMERFEST
20,FINNMARK,2011,KAUTOKEINO
20,FINNMARK,2012,ALTA
20,FINNMARK,2014,LOPPA
20,FINNMARK,2015,HASVIK
20,FINNMARK,2017,KVALSUND
20,FINNMARK,2018,MÅSØY
20,FINNMARK,2019,NORDKAPP
20,FINNMARK,2020,PORSANGER
20,FINNMARK,2021,KARASJOK
20,FINNMARK,2022,LEBESBY
20,FINNMARK,2023,GAMVIK
20,FINNMARK,2024,BERLEVÅG
20,FINNMARK,2025,TANA
20,FINNMARK,2027,NESSEBY
20,FINNMARK,2028,BÅTSFJORD
20,FINNMARK,2030,SØR-VARANGER
50,TRØNDELAG,5001,TRONDHEIM
50,TRØNDELAG,5004,STEINKJER
50,TRØNDELAG,5005,NAMSOS
50,TRØNDELAG,5011,HEMNE
50,TRØNDELAG,5012,SNILLFJORD (DELES)
50,TRØNDELAG,5012,SNILLFJORD (DELES)
50,TRØNDELAG,5012,SNILLFJORD (DELES)
50,TRØNDELAG,5013,HITRA
50,TRØNDELAG,5014,FRØYA
50,TRØNDELAG,5015,ØRLAND
50,TRØNDELAG,5016,AGDENES
50,TRØNDELAG,5017,BJUGN
50,TRØNDELAG,5018,ÅFJORD
50,TRØNDELAG,5019,ROAN
50,TRØNDELAG,5020,OSEN
50,TRØNDELAG,5021,OPPDAL
50,TRØNDELAG,5022,RENNEBU
50,TRØNDELAG,5023,MELDAL
50,TRØNDELAG,5024,ORKDAL
50,TRØNDELAG,5025,RØROS
50,TRØNDELAG,5026,HOLTÅLEN
50,TRØNDELAG,5027,MIDTRE GAULDAL
50,TRØNDELAG,5028,MELHUS
50,TRØNDELAG,5029,SKAUN
50,TRØNDELAG,5030,KLÆBU
50,TRØNDELAG,5031,MALVIK
50,TRØNDELAG,5032,SELBU
50,TRØNDELAG,5033,TYDAL
50,TRØNDELAG,5034,MERÅKER
50,TRØNDELAG,5035,STJØRDAL
50,TRØNDELAG,5036,FROSTA
50,TRØNDELAG,5037,LEVANGER
50,TRØNDELAG,5038,VERDAL
50,TRØNDELAG,5039,VERRAN
50,TRØNDELAG,5040,NAMDALSEID
50,TRØNDELAG,5041,SNÅSA
50,TRØNDELAG,5042,LIERNE
50,TRØNDELAG,5043,RØYRVIK
50,TRØNDELAG,5044,NAMSSKOGAN
50,TRØNDELAG,5045,GRONG
50,TRØNDELAG,5046,HØYLANDET
50,TRØNDELAG,5047,OVERHALLA
50,TRØNDELAG,5048,FOSNES
50,TRØNDELAG,5049,FLATANGER
50,TRØNDELAG,5050,VIKNA
50,TRØNDELAG,5051,NÆRØY
50,TRØNDELAG,5052,LEKA
50,TRØNDELAG,5053,INDERØY
50,TRØNDELAG,5054,INDRE FOSEN
50,TRØNDELAG,5061,RINDAL
