kommunenummer,kommunenavn
5018,Afjord
5016,Agdenes
619,Al
1504,Alesund
1820,Alstahaug
2012,Alta
438,Alvdal
929,Amli
429,Amot
1871,Andoy
1424,Ardal
118,Aremark
906,Arendal
214,As
1026,Aseral
220,Asker
124,Askim
1247,Askoy
1428,Askvoll
425,Asnes
1027,Audnedal
1547,Aukra
1576,Aure
1421,Aurland
221,Aurskog-Holand
1244,Austevoll
1264,Austrheim
1554,Averoy
219,Baerum
1418,Balestrand
1854,Ballangen
1933,Balsfjord
814,Bamble
1922,Bardu
2028,BAtsfjord
1839,Beiarn
1929,Berg
1201,Bergen
2024,Berlevag
1811,Bindal
928,Birkenes
1114,Bjerkreim
5017,Bjugn
1867,Bo (Nordland)
821,Bo (Telemark)
1804,Bodo
1145,Bokn
1219,Bomlo
1438,Bremanger
1813,Bronnoy
938,Bygland
941,Bykle
2025,Deatnu - Tana
1850,Divtasvuodna - Tysfjord
1827,Donna
511,Dovre
602,Drammen
817,Drangedal
1926,Dyroy
1443,Eid
1551,Eide
1232,Eidfjord
125,Eidsberg
420,Eidskog
237,Eidsvoll
1101,Eigersund
427,Elverum
229,Enebakk
434,Engerdal
1211,Etne
541,Etnedal
1853,Evenes
937,Evje og Hornnes
729,Faerder
1003,Farsund
1841,Fauske - Fuosko
1265,Fedje
227,Fet
1141,Finnoy
1222,Fitjar
1429,Fjaler
1246,Fjell
615,Fla
1859,Flakstad
5049,Flatanger
1004,Flekkefjord
631,Flesberg
1401,Flora
439,Folldal
1432,Forde
1129,Forsand
5048,Fosnes
1548,Fraena
106,Fredrikstad
215,Frogn
919,Froland
5036,Frosta
5014,Froya
1241,Fusa
831,Fyresdal
1940,Gaivuotna
2023,Gamvik
1430,Gaular
522,Gausdal
1838,GildeskAl
1532,Giske
1557,Gjemnes
234,Gjerdrum
911,Gjerstad
1122,Gjesdal
502,Gjovik
1445,Gloppen
617,Gol
534,Gran
1825,Grane
1234,Granvin
1919,Gratangen
904,Grimstad
5045,Grong
423,Grue
1411,Gulen
2011,Guovdageaidnu
1119,Ha
1866,Hadsel
1034,Haegebostad
101,Halden
1571,Halsa
403,Hamar
1849,Hamaroy - Habmer
2004,Hammerfest
1534,Haram
1517,Hareid
1903,Harstad - Harsttak
2015,Hasvik
1826,Hattfjelldal
1106,Haugesund
5011,Hemne
1832,Hemnes
618,Hemsedal
1515,Heroy (More og Romsdal)
1818,Heroy (Nordland)
5013,Hitra
827,Hjartdal
1133,Hjelmeland
138,Hobol
620,Hol
612,Hole
715,Holmestrand
5026,Holtalen
1444,Hornindal
701,Horten
1416,Hoyanger
5046,Hoylandet
239,Hurdal
628,Hurum
111,Hvaler
1413,Hyllestad
1917,Ibestad
5053,Inderoy
5054,Indre Fosen
935,Iveland
532,Jevnaker
1431,Jolster
1227,Jondal
2021,Karasjohka - Karasjok
1936,Karlsoy
1149,Karmoy
5030,Klaebu
1120,Klepp
604,Kongsberg
402,Kongsvinger
815,Kragero
1001,Kristiansand
1505,Kristiansund
622,Krodsherad
1911,Kvaefjord
1943,Kvaenangen
2017,Kvalsund
1238,Kvam
1037,Kvinesdal
1224,Kvinnherad
829,Kviteseid
1144,Kvitsoy
1422,Laerdal
712,Larvik
2022,Lebesby
1419,Leikanger
1822,Leirfjord
5052,Leka
1931,Lenvik
512,Lesja
5037,Levanger
626,Lier
5042,Lierne
501,Lillehammer
926,Lillesand
1263,Lindas
1029,Lindesnes
1920,Loabak - Lavangen
1851,Lodingen
514,Lom
2014,Loppa
230,Lorenskog
415,Loten
1112,Lund
533,Lunner
1834,Luroy
1426,Luster
1032,Lyngdal
1938,Lyngen
1924,MAlselv
5031,Malvik
1002,Mandal
119,Marker
1021,Marnardal
1266,Masfjorden
2018,MAsoy
1256,Meland
5023,Meldal
5028,Melhus
1837,Meloy
5034,MerAker
1545,Midsund
5027,Midtre Gauldal
1252,Modalen
623,Modum
1502,Molde
1874,Moskenes
104,Moss
5051,Naeroy
5040,Namdalseid
5005,Namsos
5044,Namsskogan
238,Nannestad
1805,Narvik
1433,Naustdal
625,Nedre Eiker
236,Nes (Akershus)
616,Nes (Buskerud)
1828,Nesna
216,Nesodden
1543,Nesset
830,Nissedal
233,Nittedal
819,Nome
542,Nord-Aurdal
1524,Norddal
516,Nord-Fron
2019,Nordkapp
418,Nord-Odal
538,Nordre Land
1942,Nordreisa - Raisa - Raisi
633,Nore og Uvdal
807,Notodden
1228,Odda
1868,oksnes
5021,Oppdal
217,OppegArd
5024,Orkdal
5015,orland
1523,orskog
1520,orsta
441,Os (Hedmark)
1243,Os (Hordaland)
5020,Osen
301,Oslo municipality
1253,Osteroy
528,ostre Toten
5047,Overhalla
624,ovre Eiker
521,Oyer
1259,Oygarden
544,Oystre Slidre
2020,Porsanger - Porsangu - Porsanki
805,Porsgrunn
5043,Raarvihke - Royrvik
135,Rade
1260,Radoy
228,Raelingen
128,Rakkestad
1833,Rana
1127,Randaberg
1539,Rauma
716,Re
432,Rendalen
5022,Rennebu
1142,Rennesoy
5061,Rindal
520,Ringebu
605,Ringerike
412,Ringsaker
901,Risor
5019,Roan
1836,Rodoy
632,Rollag
121,Romskog
5025,Roros
1856,Rost
627,Royken
136,Rygge
1923,Salangen
1840,Saltdal
1242,Samnanger
1514,Sande (More og Romsdal)
713,Sande (Vestfold)
710,Sandefjord
1102,Sandnes
1546,Sandoy
105,Sarpsborg
1135,Sauda
822,Sauherad
517,Sel
5032,Selbu
1441,Selje
828,Seljord
621,Sigdal
811,Siljan
1046,Sirdal
1913,SkAnland
5029,Skaun
231,Skedsmo
213,Ski
806,Skien
127,Skiptvet
513,SkjAk
1941,Skjervoy
1529,Skodje
1573,Smola
5041,Snaase - Snasa
5012,Snillfjord
1420,Sogndal
1018,Sogne
1111,Sokndal
1124,Sola
1412,Solund
1812,Somna
536,Sondre Land
1017,Songdalen
540,Sor-Aurdal
1845,Sorfold
519,Sor-Fron
419,Sor-Odal
1925,Sorreisa
1870,Sortland - Suorta
226,Sorum
2030,Sor-Varanger
123,Spydeberg
417,Stange
1103,Stavanger
1848,Steigen
5004,Steinkjer
5035,Stjordal
1221,Stord
1526,Stordal
430,Stor-Elvdal
1939,Storfjord - Omasvuotna - Omasvuono
1130,Strand
1525,Stranda
1449,Stryn
1531,Sula
1134,Suldal
1245,Sund
1563,Sunndal
1566,Surnadal
1216,Sveio
711,Svelvik
1528,Sykkylven
1121,Time
1560,Tingvoll
826,Tinn
1852,Tjeldsund
833,Tokke
436,Tolga
704,Tonsberg
1928,Torsken
1835,Traena
1927,Tranoy
122,Trogstad
1902,Tromso
5001,Trondheim
428,Trysil
914,Tvedestrand
5033,Tydal
437,Tynset
1223,Tysnes
1146,Tysvaer
235,Ullensaker
1231,Ullensvang
1516,Ulstein
1233,Ulvik
2027,Unjarga - Nesseby
1151,Utsira
2003,Vadso
1857,Vaeroy
515,VAgA
1865,VAgan
1439,VAgsoy
1251,Vaksdal
426,Valer (Hedmark)
137,Valer (ostfold)
940,Valle
545,Vang
1511,Vanylven
2002,Vardo
1824,Vefsn
1815,Vega
912,Vegarshei
1014,Vennesla
5038,Verdal
5039,Verran
211,Vestby
1535,Vestnes
543,Vestre Slidre
529,Vestre Toten
1860,Vestvagoy
1816,Vevelstad
1417,Vik
5050,Vikna
1160,Vindafjord
834,Vinje
1519,Volda
1235,Voss
